source,split,profile,row,method,gap_rmse,gap_nrmse,gap_mae,visible_rmse,whole_rmse,gap_correlation,whole_correlation
chirp_9db,validation,long_gaps,12236,autoregression,1.712757047535678,1.1116766497375292,1.1331276843494928,0.0,0.5664411505065796,0.15906721113117045,0.871376233237856
chirp_9db,validation,long_gaps,12236,pca_r32_l01,10.452704725654229,6.784399332543911,5.27743635765083,0.0,3.4569071540088396,0.05146651147784127,0.2766298292617178
chirp_9db,validation,long_gaps,12236,pca_r64_l01,8.537404078760469,5.5412603774641624,5.378704142195572,0.0,2.823481004308587,0.1108569455685407,0.3502219597471003
chirp_9db,validation,long_gaps,12236,pca_r96_l01,4.577338718327549,2.9709529313720413,3.0431280346924052,0.0,1.5138124894002283,0.24379749288421132,0.5825501630959794
chirp_9db,validation,long_gaps,12236,pca_r64_l001,15.746537111027918,10.220397367940501,9.871511099624632,0.0,5.207677650778667,0.1397225293247289,0.23208920928997112
chirp_9db,validation,long_gaps,12236,pca_r64_l1,2.4962945572640614,1.620237017369233,1.6819707069086434,0.0,0.8255718247105991,0.20538384413180985,0.7722132998288805
chirp_9db,validation,long_gaps,12236,template_1,1.8544610009852782,1.2036505677266964,1.3197851236029554,0.0,0.6133053280843691,-0.3450778949384412,0.8462831012677084
chirp_9db,validation,long_gaps,12236,dictionary_8,1.9183892398441458,1.2451436274110799,1.390514919616027,0.0,0.6344476058062315,-0.09157171578053896,0.8379905230521215
chirp_9db,validation,long_gaps,12236,dictionary_24,1.6916581934439725,1.0979822945085052,1.2069359510886823,0.0,0.5594633603971934,0.015000396991536675,0.8730512899835642
chirp_9db,validation,long_gaps,12236,dictionary_48,1.7662221604087989,1.14637854609939,1.2535267860639079,0.0,0.584123074566614,0.10392711286858215,0.8631685643808789
chirp_9db,validation,long_gaps,12472,zero_fill,2.313024474889725,1.0,1.0963550273456415,0.0,0.7649609421204968,,0.39396964800590506
chirp_9db,validation,long_gaps,12472,linear,2.3208311971593414,1.0033751144245842,1.148668568126298,0.0,0.7675427728304914,0.0023718467593718796,0.3871980991322247
chirp_9db,validation,long_gaps,12472,pchip,2.32330857482123,1.0044461699576246,1.1646210010695526,0.0,0.7683620884801093,0.0034460087258412903,0.38507033348582115
chirp_9db,validation,long_gaps,12472,autoregression,2.3167274844152987,1.001600938323729,1.0872333442016793,0.0,0.7661855974088934,-0.0035936835373867396,0.3905408396817171
chirp_9db,validation,long_gaps,12472,pca_r32_l01,2.5239690423717365,1.0911985885891107,1.100218255312112,0.0,0.8347243003676826,-0.1356221139635351,0.24041494533569716
chirp_9db,validation,long_gaps,12472,pca_r64_l01,2.6898189314686047,1.162901197401659,1.2085241711805714,0.0,0.8895739955574271,-0.25986347975307983,0.13190200219535195
