sample,modality,degradation,method,PSNR_dB,SSIM_global,MAE_8bit,RMS_contrast
23,thermal,severe,gaussian_clahe,15.666648031266622,0.7668873073585646,35.23807291666667,41.966331617709095
23,thermal,severe,median_clahe,15.623373851143585,0.760000254779363,35.3541015625,41.483921770114854
23,thermal,severe,bilateral_clahe,16.63388204835757,0.8133703832559054,32.045859375,42.143303818770185
23,thermal,severe,nlm_clahe,17.27388095885857,0.8373191354517365,30.003333333333334,42.597904475703146
23,thermal,severe,nlm_clahe_unsharp,17.257060492657132,0.8372143905240353,29.996861979166667,42.92160644100421
23,thermal,severe,auto_mask_telea_inpaint,15.44710727899766,0.6382455466257718,36.885013020833334,32.286133169949004
23,thermal,motion,degraded_input,19.48302755832492,0.8772345141552143,22.415794270833334,41.427469233340815
23,thermal,motion,nlm_only_conservative,19.621317469487504,0.8801801915602082,22.234075520833333,40.86546862610064
23,thermal,motion,bilateral_only_conservative,19.537634828604375,0.8773468210355787,22.5016015625,40.57478207682202
23,thermal,motion,gaussian_clahe,17.39692700880167,0.8603488972605586,29.021497395833332,50.96417402775795
23,thermal,motion,median_clahe,17.443969231809746,0.8589377818470123,28.817369791666668,50.31458468907313
23,thermal,motion,bilateral_clahe,18.105922425397456,0.8815083568156084,26.771276041666667,51.4418647519464
23,thermal,motion,nlm_clahe,18.648516315610948,0.8960682276856775,25.148216145833334,52.03432735884136
23,thermal,motion,nlm_clahe_unsharp,18.634823173264895,0.8960729186656362,25.127213541666666,52.325163455825084
23,thermal,motion,auto_mask_telea_inpaint,18.82215643932261,0.8580037918841064,24.433971354166665,42.482483578104855
31,optical,moderate,degraded_input,18.35020266077064,0.8659438229493162,24.17294704861111,42.42452332605742
